Z1835	Bramdean Asset Management LLP	58 Glentham Road, London, SW13 9JJ	C, SS, IF 
Z1810	Brent Shrine Credit Union Limited	Ivy Bridge House, 1 Adam Street London, WC2N 6LE	C 
Z1210	Brewin Dolphin Limited	Commercial Union House, 39 Pilgrim Street, Newcastle Upon Tyne, NE1 6RQ	C, SS 
Z1290	BRI Wealth Management plc	BRI House, Elm Court, Meriden Green Business Park, Coventry, CV5 9RL	SS 
Z1685	Bridgend Lifesavers Credit Union Limited	The Life Long Learning Centre, Murfield Close, Sarn Bridgend, CF32 9SW	C 
Z1826	Bristol Credit Union	112 to 114 Cheltenham Road, Bristol, BS6 5RW	C 
Z1895	British Pearl Limited	4th floor, 7 to 10 Charnos Street, London, W1G 9DQ	IF, SS, SS JISA 
Z1595	Brooks MacDonald Asset Management Limited	72 Welbeck Street, Marylebone, London, W1G 0AY	SS 
Z1260	Brown Shipley and Company Limited	Founders Court, Lothbury, London, EC2R 7HE	C, SS 
Z1266	Buckinghamshire Building Society	High Street, Chalfont, St Giles, HP8 4QB	C 
Z1176	C Hoare and Company	37 Fleet Street, London, EC4P 4DQ	C, SS 
Z1274	Cambridge Building Society	51 Newmarket Road, Cambridge, CB5 8EG	C 
Z1007	Cambridge Fund Managers Limited	1A Queen Square, Bath, BA1 2HA	SS 
Z1664	Canaccord Genuity Limited	88 Wood Street, London, EC2V 7QR	SS 
Z1483	Canaccord Genuity Wealth Management Limited	2nd Floor, 41 Lothbury, London, EC2R 7AE	SS 
Z1517	Capel Court plc	Balkerne Asset Management, 1 Balkerne Hill, Colchester, Essex, CO3 3FG	SS 
Z1659	Capita Financial Investments Limited	17 Rochester Row, Westminster, London, SW1P 1JB	SS 
Z1367	Capita Financial Managers Limited	17 Rochester Row, Westminster, London, SW1P 1JB	SS 
Z1769	Capita IRG Trustees Limited	The Registry, 34 Beckenham Road, Beckenham, BR3 4TU	SS 
Z1786	Capital Credit Union Limited	62 Hamilton Place, Edinburgh, EH3 5AZ	C 
Z1562	Cardale Asset Management Limited	2 Greengate, Cardale Park, Harrogate, HG3 1GY	SS 
Z1855	Carvetian Capital Management Limited	Stuart House, St John’s Street, Peterborough, PE1 5DD	SS 
Z1652	Castle and Crystal Credit Union	25 New Street, Dudley, DY1 1LT	C 
Z1802	Castle Trust Capital Management Limited	10 Norwich Street, London, EC4A 1BD	SS 
